 ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ausgaben,Nebenkosten,absolute Ausgaben,Umsatz,Profit,Multiplikator,EP Verkauft/abbruch,realer Profit,realer Multiplikator,Stock Wert,,,,
"3.592,62 €","525,14 €","4.117,76 €","3.316,00 €","-801,76 €",81%,"2.003,90 €","1.312,10 €",165%,"1.579,97 €",,,,
,,,,,,,,,,,,,
,,,,, ,,,,,,,,
,,,,,,,,,,,,,
ID,Status,EP,listed am,Push,VP,verkauft am,Profit,Multiplikator,verkauft nach,Marke/Art,Typ,Grade,Supplier
200,Verkauft,"30,20 €",22.03.2026,,"39,99 €",23.03.2026,"9,79 €",132%,1,True Religon,Denim,A,Creed Vintage (Fleek)
201,Verkauft,"30,20 €",30.03.2026,,"46,00 €",31.03.2026,"15,80 €",152%,1,True Religon,Denim,A,Creed Vintage (Fleek)
202,Verkauft,"30,20 €",30.03.2026,,"49,99 €",30.03.2026,"19,79 €",166%,0,True Religon,Denim,A,Creed Vintage (Fleek)
203,Listed,"30,20 €",30.03.2026,,,,"-30,20 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
204,Verkauft,"30,20 €",30.03.2026,,"39,99 €",30.03.2026,"9,79 €",132%,0,True Religon,Denim,A,Creed Vintage (Fleek)
205,Verkauft,"30,20 €",30.03.2026,,"37,99 €",30.03.2026,"7,79 €",126%,0,True Religon,Denim,A,Creed Vintage (Fleek)
206,Verkauft,"30,20 €",30.03.2026,,"44,99 €",31.03.2026,"14,79 €",149%,1,True Religon,Denim,A,Creed Vintage (Fleek)
207,Verkauft,"30,20 €",30.03.2026,,"49,99 €",01.04.2026,"19,79 €",166%,2,True Religon,Denim,A,Creed Vintage (Fleek)
208,Listed,"30,20 €",31.03.2026,,,,"-30,20 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
209,Verkauft,"30,20 €",31.03.2026,,"42,50 €",31.03.2026,"12,30 €",141%,0,True Religon,Denim,A,Creed Vintage (Fleek)
210,Verkauft,"30,20 €",01.04.2026,,"39,00 €",02.04.2026,"8,80 €",129%,1,True Religon,Denim,A,Creed Vintage (Fleek)
211,Verkauft,"30,20 €",31.03.2026,,"49,99 €",01.04.2026,"19,79 €",166%,1,True Religon,Denim,A,Creed Vintage (Fleek)
212,Listed,"30,20 €",31.03.2026,,,,"-30,20 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
213,Listed,"30,20 €",31.03.2026,"2,56 €",,,"-32,76 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
214,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
215,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
216,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
217,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
218,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
219,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
220,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
221,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
222,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
223,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
224,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
225,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
226,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
227,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
228,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
229,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
230,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
231,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
232,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
233,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
234,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
235,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
236,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
237,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
238,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
239,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
240,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
241,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
242,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
243,Ausstehend,"8,71 €",,,,,"-8,71 €",,,"y2k, flared",Denim,A,5th Era Thrift (Fleek)
244,Verkauft,"30,45 €",31.03.2026,,"44,99 €",31.03.2026,"14,54 €",148%,0,True Religon,Denim,A,Creed Vintage (Fleek)
245,Listed,"30,45 €",31.03.2026,,,,"-30,45 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
246,Listed,"30,45 €",31.03.2026,,,,"-30,45 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
247,Listed,"30,45 €",01.04.2026,,,,"-30,45 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
248,Listed,"30,45 €",01.04.2026,,,,"-30,45 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
249,Listed,"30,45 €",01.04.2026,,,,"-30,45 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
250,Verkauft,"30,45 €",01.04.2026,,"45,00 €",02.04.2026,"14,55 €",148%,1,True Religon,Denim,A,Creed Vintage (Fleek)
251,Ausstehend,"30,45 €",,,,,"-30,45 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
252,Ausstehend,"30,45 €",,,,,"-30,45 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
253,Ausstehend,"30,45 €",,,,,"-30,45 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
254,Ausstehend,"30,45 €",,,,,"-30,45 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
255,Ausstehend,"30,45 €",,,,,"-30,45 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
256,Ausstehend,"30,45 €",,,,,"-30,45 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
257,Ausstehend,"30,45 €",,,,,"-30,45 €",,,True Religon,Denim,A,Creed Vintage (Fleek)
258,,,,,,,"0,00 €",,,,,A,
259,,,,,,,"0,00 €",,,,,A,
260,,,,,,,"0,00 €",,,,,A,
261,,,,,,,"0,00 €",,,,,A,
262,,,,,,,"0,00 €",,,,,A,
263,,,,,,,"0,00 €",,,,,A,
264,,,,,,,"0,00 €",,,,,A,
265,,,,,,,"0,00 €",,,,,A,
266,,,,,,,"0,00 €",,,,,A,
267,,,,,,,"0,00 €",,,,,A,
268,,,,,,,"0,00 €",,,,,A,
269,,,,,,,"0,00 €",,,,,A,
270,,,,,,,"0,00 €",,,,,A,
271,,,,,,,"0,00 €",,,,,A,
272,,,,,,,"0,00 €",,,,,A,
273,,,,,,,"0,00 €",,,,,A,
274,,,,,,,"0,00 €",,,,,A,
275,,,,,,,"0,00 €",,,,,A,
276,,,,,,,"0,00 €",,,,,A,
277,,,,,,,"0,00 €",,,,,A,
278,,,,,,,"0,00 €",,,,,A,
279,,,,,,,"0,00 €",,,,,A,
280,,,,,,,"0,00 €",,,,,A,
281,,,,,,,"0,00 €",,,,,A,
282,,,,,,,"0,00 €",,,,,A,
283,,,,,,,"0,00 €",,,,,A,
284,,,,,,,"0,00 €",,,,,A,
285,,,,,,,"0,00 €",,,,,A,
286,,,,,,,"0,00 €",,,,,A,
287,,,,,,,"0,00 €",,,,,A,
288,,,,,,,"0,00 €",,,,,A,
289,,,,,,,"0,00 €",,,,,A,
290,,,,,,,"0,00 €",,,,,A,
291,,,,,,,"0,00 €",,,,,A,
292,,,,,,,"0,00 €",,,,,A,
293,,,,,,,"0,00 €",,,,,A,
294,,,,,,,"0,00 €",,,,,A,
295,,,,,,,"0,00 €",,,,,A,
296,,,,,,,"0,00 €",,,,,A,
297,,,,,,,"0,00 €",,,,,A,
298,,,,,,,"0,00 €",,,,,A,
299,,,,,,,"0,00 €",,,,,A,
300,,,,,,,"0,00 €",,,,,A,
301,,,,,,,"0,00 €",,,,,A,
302,,,,,,,"0,00 €",,,,,A,
303,,,,,,,"0,00 €",,,,,A,
304,,,,,,,"0,00 €",,,,,A,
305,,,,,,,"0,00 €",,,,,A,
306,,,,,,,"0,00 €",,,,,A,
307,,,,,,,"0,00 €",,,,,A,
308,,,,,,,"0,00 €",,,,,A,
309,,,,,,,"0,00 €",,,,,,
310,,,,,,,"0,00 €",,,,,,
311,,,,,,,"0,00 €",,,,,,
312,,,,,,,"0,00 €",,,,,,
313,,,,,,,"0,00 €",,,,,,
314,,,,,,,"0,00 €",,,,,,
315,,,,,,,"0,00 €",,,,,,
316,,,,,,,#REF!,,,,,,
317,,,,,,,#REF!,,,,,,
318,,,,,,,#REF!,,,,,,
319,,,,,,,#REF!,,,,,,
320,,,,,,,#REF!,,,,,,
321,,,,,,,#REF!,,,,,,
322,,,,,,,#REF!,,,,,,
323,,,,,,,#REF!,,,,,,
324,,,,,,,#REF!,,,,,,
325,,,,,,,#REF!,,,,,,
326,,,,,,,#REF!,,,,,,
327,,,,,,,#REF!,,,,,,
328,,,,,,,#REF!,,,,,,
329,,,,,,,#REF!,,,,,,
330,,,,,,,#REF!,,,,,,
331,,,,,,,#REF!,,,,,,
332,,,,,,,#REF!,,,,,,
333,,,,,,,#REF!,,,,,,
334,,,,,,,#REF!,,,,,,
335,,,,,,,#REF!,,,,,,
336,,,,,,,#REF!,,,,,,
337,,,,,,,#REF!,,,,,,
338,,,,,,,#REF!,,,,,,
339,,,,,,,#REF!,,,,,,
340,,,,,,,#REF!,,,,,,
341,,,,,,,#REF!,,,,,,
342,,,,,,,#REF!,,,,,,
343,,,,,,,#REF!,,,,,,
344,,,,,,,#REF!,,,,,,
345,,,,,,,#REF!,,,,,,
346,,,,,,,#REF!,,,,,,
347,,,,,,,#REF!,,,,,,
348,,,,,,,#REF!,,,,,,
349,,,,,,,#REF!,,,,,,
350,,,,,,,#REF!,,,,,,
351,,,,,,,#REF!,,,,,,
352,,,,,,,#REF!,,,,,,
353,,,,,,,#REF!,,,,,,
354,,,,,,,#REF!,,,,,,
355,,,,,,,#REF!,,,,,,
356,,,,,,,#REF!,,,,,,
357,,,,,,,#REF!,,,,,,
358,,,,,,,#REF!,,,,,,
359,,,,,,,#REF!,,,,,,
360,,,,,,,#REF!,,,,,,
361,,,,,,,#REF!,,,,,,
362,,,,,,,#REF!,,,,,,
363,,,,,,,#REF!,,,,,,
364,,,,,,,#REF!,,,,,,
365,,,,,,,#REF!,,,,,,
366,,,,,,,#REF!,,,,,,
367,,,,,,,#REF!,,,,,,
368,,,,,,,#REF!,,,,,,
369,,,,,,,#REF!,,,,,,
370,,,,,,,#REF!,,,,,,
371,,,,,,,#REF!,,,,,,
372,,,,,,,#REF!,,,,,,
373,,,,,,,#REF!,,,,,,
374,,,,,,,#REF!,,,,,,
375,,,,,,,#REF!,,,,,,
376,,,,,,,#REF!,,,,,,
377,,,,,,,#REF!,,,,,,
378,,,,,,,#REF!,,,,,,
379,,,,,,,#REF!,,,,,,
380,,,,,,,#REF!,,,,,,
381,,,,,,,#REF!,,,,,,
382,,,,,,,#REF!,,,,,,
383,,,,,,,#REF!,,,,,,
384,,,,,,,#REF!,,,,,,
385,,,,,,,#REF!,,,,,,
386,,,,,,,#REF!,,,,,,
387,,,,,,,#REF!,,,,,,
388,,,,,,,#REF!,,,,,,
389,,,,,,,#REF!,,,,,,
390,,,,,,,#REF!,,,,,,
391,,,,,,,#REF!,,,,,,
392,,,,,,,#REF!,,,,,,
393,,,,,,,#REF!,,,,,,
394,,,,,,,#REF!,,,,,,
395,,,,,,,#REF!,,,,,,
396,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
,,,,,,,#REF!,,,,,,
